iter	Passed	Remaining
0	2	2036
1	3	1622
2	4	1403
3	5	1357
4	6	1265
5	7	1276
6	9	1332
7	10	1298
8	11	1258
9	12	1221
10	13	1224
11	14	1201
12	15	1180
13	16	1165
14	17	1147
15	18	1113
16	19	1139
17	21	1146
18	22	1166
19	24	1179
20	25	1188
21	27	1205
22	28	1228
23	31	1282
24	32	1265
25	33	1256
26	35	1267
27	36	1278
28	38	1274
29	39	1262
30	40	1272
31	41	1270
32	42	1259
33	43	1246
34	44	1235
35	45	1228
36	46	1219
37	47	1210
38	48	1201
39	49	1199
40	51	1193
41	51	1185
42	52	1178
43	54	1173
44	55	1167
45	56	1165
46	57	1156
47	58	1150
48	58	1143
49	59	1137
50	60	1129
51	61	1125
52	62	1119
53	63	1114
54	64	1109
55	65	1106
56	66	1100
57	67	1093
58	68	1088
59	69	1084
60	70	1078
61	70	1072
62	71	1068
63	72	1065
64	73	1060
65	74	1055
66	75	1051
67	76	1048
68	77	1043
69	78	1039
70	79	1035
71	80	1031
72	80	1024
73	81	1020
74	82	1015
75	83	1012
76	84	1008
77	84	1004
78	85	1001
79	86	997
80	87	994
81	88	992
82	89	990
83	90	987
84	91	982
85	92	979
86	93	977
87	93	973
88	94	970
89	95	968
90	96	964
91	97	961
92	98	958
93	99	957
94	100	954
95	101	952
96	102	949
97	102	947
98	103	944
99	104	942
100	105	940
101	106	937
102	107	934
103	108	931
104	108	928
105	109	926
106	110	923
107	111	922
108	112	920
109	113	918
110	114	915
111	115	913
112	116	910
113	116	907
114	117	905
115	118	903
116	119	902
117	120	900
118	121	898
119	122	897
120	123	894
121	123	891
122	124	888
123	125	885
124	126	884
125	127	883
126	128	881
127	129	879
128	130	877
129	130	875
130	131	873
131	132	871
132	133	869
133	134	866
134	134	864
135	135	862
136	136	860
137	137	859
138	138	857
139	139	855
140	140	853
141	140	850
142	141	849
143	142	846
144	143	845
145	144	843
146	145	841
147	145	839
148	146	838
149	147	836
150	148	834
151	149	832
152	150	830
153	150	828
154	151	827
155	152	825
156	153	824
157	154	823
158	155	821
159	156	820
160	157	818
161	157	816
162	158	816
163	159	815
164	160	813
165	161	811
166	162	810
167	163	808
168	164	806
169	164	805
170	165	804
171	166	802
172	167	801
173	168	799
174	169	799
175	170	798
176	171	796
177	172	795
178	173	793
179	173	792
180	174	790
181	175	789
182	176	787
183	177	785
184	177	784
185	178	782
186	179	780
187	180	779
188	181	777
189	182	776
190	182	774
191	183	772
192	184	771
193	185	769
194	186	768
195	187	767
196	187	765
197	188	765
198	189	764
199	190	763
200	191	761
201	192	759
202	193	758
203	193	756
204	194	755
205	195	753
206	196	752
207	197	750
208	197	749
209	198	747
210	199	746
211	200	745
212	201	743
213	202	742
214	202	740
215	203	739
216	204	738
217	205	736
218	206	735
219	207	733
220	207	732
221	208	731
222	209	729
223	210	728
224	211	727
225	211	726
226	212	724
227	213	723
228	214	722
229	215	721
230	216	719
231	216	718
232	217	716
233	218	715
234	219	714
235	220	713
236	221	711
237	221	710
238	222	709
239	223	707
240	224	706
241	225	705
242	225	704
243	226	702
244	227	701
245	228	700
246	229	699
247	230	697
248	230	696
249	231	695
250	232	693
251	233	692
252	234	691
253	235	690
254	236	690
255	237	689
256	238	688
257	238	687
258	239	686
259	240	684
260	241	683
261	242	682
262	243	681
263	244	680
264	244	679
265	245	678
266	246	677
267	247	675
268	248	674
269	249	674
270	250	672
271	251	671
272	251	670
273	252	669
274	253	668
275	254	667
276	255	665
277	255	664
278	256	663
279	257	662
280	258	661
281	259	659
282	260	658
283	260	657
284	261	656
285	262	655
286	263	654
287	264	653
288	265	652
289	265	650
290	266	649
291	267	649
292	268	647
293	269	646
294	270	645
295	270	644
296	271	643
297	272	641
298	273	640
299	274	639
300	274	638
301	275	637
302	276	636
303	277	635
304	278	634
305	279	632
306	279	631
307	280	630
308	281	629
309	282	628
310	283	627
311	284	626
312	285	625
313	286	624
314	286	623
315	287	622
316	288	621
317	289	620
318	290	619
319	291	618
320	292	617
321	292	616
322	293	615
323	294	614
324	295	613
325	296	612
326	297	611
327	297	610
328	298	609
329	299	608
330	300	607
331	301	606
332	302	605
333	303	604
334	303	603
335	304	602
336	305	601
337	306	600
338	307	599
339	308	598
340	309	597
341	310	596
342	311	596
343	312	595
344	312	594
345	313	593
346	314	592
347	315	591
348	316	590
349	317	589
350	318	588
351	319	587
352	320	587
353	321	586
354	322	585
355	323	584
356	323	583
357	324	582
358	325	581
359	326	580
360	327	579
361	328	578
362	328	577
363	329	576
364	330	575
365	331	575
366	332	574
367	333	573
368	334	572
369	335	571
370	336	570
371	337	569
372	338	568
373	339	567
374	340	566
375	340	565
376	341	564
377	342	563
378	343	562
379	344	561
380	345	560
381	346	560
382	347	559
383	347	558
384	348	557
385	349	556
386	350	555
387	351	554
388	352	553
389	353	552
390	354	551
391	354	550
392	355	549
393	356	548
394	357	547
395	358	546
396	359	545
397	360	544
398	361	543
399	361	542
400	362	541
401	363	540
402	364	539
403	365	539
404	366	538
405	367	537
406	368	536
407	369	535
408	370	534
409	370	533
410	371	532
411	372	532
412	373	531
413	374	530
414	375	528
415	376	527
416	376	526
